date,Value
1-May-19,0.566
1-May-19,0.566
6-May-19,0.56
6-May-19,0.56
11-May-19,0.414
11-May-19,0.415
16-May-19,0.169
16-May-19,0.171
21-May-19,0.464
21-May-19,0.464
26-May-19,0.419
26-May-19,0.421
31-May-19,0.191
31-May-19,0.194
5-Jun-19,0.045
5-Jun-19,0.044
10-Jun-19,0.361
10-Jun-19,0.367
15-Jun-19,0.473
15-Jun-19,0.472
20-Jun-19,0.621
20-Jun-19,0.621
25-Jun-19,0.474
25-Jun-19,0.48
30-Jun-19,0.017
30-Jun-19,0.017
5-Jul-19,0.121
5-Jul-19,0.122
10-Jul-19,0.002
10-Jul-19,0.002
15-Jul-19,-0.019
15-Jul-19,-0.02
20-Jul-19,0.352
20-Jul-19,0.362
25-Jul-19,0.008
25-Jul-19,0.008
30-Jul-19,0.032
30-Jul-19,0.032
4-Aug-19,0.171
4-Aug-19,0.171
9-Aug-19,0.106
9-Aug-19,0.108
14-Aug-19,0.139
14-Aug-19,0.138
19-Aug-19,0
19-Aug-19,0
24-Aug-19,0.119
24-Aug-19,0.124
29-Aug-19,0.034
29-Aug-19,0.034
3-Sep-19,0.086
3-Sep-19,0.087
8-Sep-19,0.332
8-Sep-19,0.34
13-Sep-19,-0.005
13-Sep-19,-0.005
18-Sep-19,-0.003
18-Sep-19,-0.003
23-Sep-19,0.271
23-Sep-19,0.277
28-Sep-19,0.001
28-Sep-19,0
3-Oct-19,0.382
3-Oct-19,0.381
8-Oct-19,0.324
8-Oct-19,0.326
13-Oct-19,0.354
13-Oct-19,0.343
18-Oct-19,0.111
18-Oct-19,0.11
23-Oct-19,0.111
23-Oct-19,0.111
28-Oct-19,0.099
28-Oct-19,0.101
2-Nov-19,0.38
2-Nov-19,0.381
7-Nov-19,0.282
7-Nov-19,0.28
12-Nov-19,0.306
12-Nov-19,0.308
17-Nov-19,0.386
17-Nov-19,0.388
22-Nov-19,0.352
22-Nov-19,0.346
27-Nov-19,0.502
27-Nov-19,0.502
2-Dec-19,0.368
2-Dec-19,0.352
7-Dec-19,0.554
7-Dec-19,0.552
12-Dec-19,0.032
12-Dec-19,0.032
12-Dec-19,0.032
12-Dec-19,0.032
17-Dec-19,0.554
17-Dec-19,0.552
22-Dec-19,0.499
22-Dec-19,0.494
22-Dec-19,0.499
22-Dec-19,0.494
27-Dec-19,0.39
27-Dec-19,0.385
1-Jan-20,0.161
1-Jan-20,0.161
6-Jan-20,0.536
6-Jan-20,0.535
11-Jan-20,0.459
11-Jan-20,0.464
16-Jan-20,0.006
16-Jan-20,0.006
21-Jan-20,0.083
21-Jan-20,0.083
26-Jan-20,0.2
26-Jan-20,0.201
31-Jan-20,0.514
31-Jan-20,0.508
5-Feb-20,0.322
5-Feb-20,0.312
10-Feb-20,0.488
10-Feb-20,0.484
15-Feb-20,0.022
15-Feb-20,0.022
20-Feb-20,0.264
20-Feb-20,0.268
25-Feb-20,0.389
25-Feb-20,0.384
1-Mar-20,0.2
1-Mar-20,0.2
6-Mar-20,0.198
6-Mar-20,0.198
11-Mar-20,0.519
11-Mar-20,0.515
16-Mar-20,0.534
16-Mar-20,0.531
21-Mar-20,0.451
21-Mar-20,0.447
26-Mar-20,0.506
26-Mar-20,0.504
31-Mar-20,0.5
31-Mar-20,0.498
5-Apr-20,0.521
5-Apr-20,0.519
10-Apr-20,0.47
10-Apr-20,0.469
15-Apr-20,0.566
15-Apr-20,0.566
20-Apr-20,0.536
20-Apr-20,0.536
25-Apr-20,0.059
25-Apr-20,0.059
30-Apr-20,0.135
30-Apr-20,0.135
5-May-20,0.056
5-May-20,0.055
10-May-20,0.022
10-May-20,0.022
15-May-20,0.065
15-May-20,0.063
20-May-20,0.358
20-May-20,0.357
25-May-20,0.284
25-May-20,0.283
30-May-20,0.458
30-May-20,0.458
